,Country,EdLevel,YearsCodePro,Salary
1522,4,1,11.0,63986.0
1524,17,0,23.0,105000.0
1525,17,0,0.5,65000.0
1527,17,2,3.0,165000.0
1528,17,0,0.5,74000.0
1530,17,2,10.0,205000.0
1531,9,0,8.0,34812.0
1532,16,1,25.0,46487.0
1533,3,0,2.0,180000.0
1535,9,2,3.0,60787.0
1537,9,0,6.0,136308.0
1538,9,1,18.0,82596.0
1540,3,0,5.0,273294.0
1541,17,0,10.0,151000.0
1542,16,0,0.5,32666.0
1543,17,0,9.0,180000.0
1545,9,1,11.0,93846.0
1546,17,2,10.0,160000.0
1547,17,0,6.0,130000.0
1548,17,0,20.0,150000.0
1549,9,1,9.0,32846.0
1552,16,0,10.0,251279.0
1557,5,2,2.0,56304.0
1560,16,1,1.0,376920.0
1565,17,0,1.0,275000.0
1567,17,0,4.0,163500.0
1568,8,2,20.0,91714.0
1571,8,1,0.5,33273.0
1572,17,0,28.0,250000.0
